,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_36,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,
ASV_37,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,Candidatus_Thioglobus
ASV_38,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ASV_39,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,uncultured_marine
ASV_40,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_41,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,
ASV_42,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
ASV_43,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,uncultured_Flavobacteriia
ASV_44,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_45,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,OM43_clade,
ASV_46,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Fluviicola,
ASV_47,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
ASV_48,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,unidentified_marine
ASV_49,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,
ASV_50,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,SAR116_clade,alpha_proteobacterium
ASV_51,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,
ASV_52,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,
ASV_53,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,
ASV_54,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
ASV_55,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Luminiphilus,
ASV_56,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,marine_gamma
ASV_57,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,marine_metagenome
ASV_58,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Halioglobus,
ASV_59,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_60,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),uncultured_delta
ASV_61,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_62,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,uncultured_Alphaproteobacteria
ASV_63,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
ASV_64,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
ASV_65,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_66,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,
ASV_67,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_68,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,
ASV_69,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,
ASV_70,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,
ASV_71,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
ASV_72,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92_clade,
ASV_73,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_marine
ASV_75,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,uncultured_euryarchaeote
ASV_76,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,metagenome
ASV_77,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pseudofulvibacter,
ASV_78,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hellea,
ASV_79,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_Flavobacterium
ASV_80,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,unidentified_archaeon
ASV_81,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,uncultured_marine
ASV_82,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,
ASV_83,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,uncultured,
ASV_84,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,
ASV_85,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,Clade_IV,
ASV_86,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Gimesiaceae,uncultured,
ASV_87,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,
ASV_88,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Cyanobiaceae,Synechococcus_CC9902,
ASV_89,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,,
ASV_90,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_91,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
ASV_92,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
ASV_93,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,uncultured_organism
ASV_94,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ASV_95,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Candidatus_Nitrosopumilus,uncultured_euryarchaeote
ASV_96,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_97,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,unidentified_marine
ASV_98,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_Sphingobacteriia
ASV_99,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
ASV_100,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Yoonia-Loktanella,
ASV_101,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,
ASV_102,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_II,Clade_II,
ASV_103,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
ASV_104,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,
ASV_105,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
ASV_106,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_107,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,
ASV_108,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,Candidatus_Thioglobus
ASV_109,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_110,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_111,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_112,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
ASV_113,Bacteria,Proteobacteria,Alphaproteobacteria,Thalassobaculales,Nisaeaceae,OM75_clade,
ASV_114,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
ASV_115,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,
ASV_116,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
ASV_117,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
ASV_118,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,SAR116_clade,Candidatus_Puniceispirillum,
ASV_119,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_120,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,marine_metagenome
ASV_121,Bacteria,Proteobacteria,Gammaproteobacteria,Thiomicrospirales,Thioglobaceae,SUP05_cluster,
ASV_122,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,Pseudohongiella,
ASV_123,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,uncultured_Owenweeksia
ASV_124,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Woeseiaceae,Woeseia,uncultured_marine
ASV_125,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata,Thermoplasmata,Marine_Group_III,uncultured_marine
ASV_126,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_127,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,SAR11_clade,SAR11_clade,uncultured_bacterium
ASV_128,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7_marine_group,NS7_marine_group,uncultured_marine
ASV_129,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_130,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Aestuariicella,
ASV_131,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,hydrothermal_vent
ASV_132,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,
ASV_133,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_134,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_135,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,uncultured,uncultured_Sphingobacteriia
ASV_136,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,
ASV_137,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,
ASV_138,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina,
ASV_139,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,marine_metagenome
ASV_140,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,uncultured_marine
ASV_141,Bacteria,SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),SAR324_clade(Marine_group_B),
ASV_142,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
ASV_143,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,
ASV_144,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,AEGEAN-169_marine_group,AEGEAN-169_marine_group,
ASV_145,Bacteria,Proteobacteria,Alphaproteobacteria,uncultured,uncultured,uncultured,uncultured_marine
ASV_146,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_147,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,uncultured_marine
ASV_148,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,uncultured,marine_metagenome
ASV_149,Archaea,Thermoplasmatota,Thermoplasmata,Thermoplasmata,Thermoplasmata,Marine_Group_III,uncultured_marine
ASV_150,Bacteria,Planctomycetota,OM190,OM190,OM190,OM190,uncultured_marine
ASV_151,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,hydrothermal_vent
ASV_152,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ASV_153,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_154,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosopumilales,Nitrosopumilaceae,Nitrosopumilaceae,marine_metagenome
ASV_155,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
ASV_156,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Candidatus_Endobugula,
ASV_157,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,
ASV_158,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,marine_metagenome
ASV_159,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_160,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_161,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
ASV_162,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,
ASV_163,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,
ASV_164,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,SCGC_AAA164-E04,Verrucomicrobia_bacterium
ASV_165,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,
ASV_166,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,uncultured_Bacteroidetes
ASV_167,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rhodopirellula,hydrothermal_vent
ASV_168,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Polaribacter,
ASV_169,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,marine_metagenome
ASV_170,Bacteria,Proteobacteria,Gammaproteobacteria,SAR86_clade,SAR86_clade,SAR86_clade,uncultured_Oceanospirillales
ASV_171,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
ASV_172,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Rubripirellula,
ASV_173,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_174,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,
ASV_175,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
ASV_176,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
ASV_177,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_IV,Clade_IV,
ASV_178,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group,
ASV_179,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
ASV_180,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
ASV_181,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Stappiaceae,Stappiaceae,uncultured_bacterium
ASV_182,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,uncultured,marine_metagenome
ASV_183,Bacteria,Patescibacteria,Gracilibacteria,JGI_0000069-P22,JGI_0000069-P22,JGI_0000069-P22,uncultured_bacterium
ASV_184,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ia,
ASV_185,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Nitrincolaceae,uncultured,
ASV_186,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
ASV_187,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,
ASV_188,Archaea,Thermoplasmatota,Thermoplasmata,Marine_Group_II,Marine_Group_II,Marine_Group_II,
ASV_189,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
ASV_190,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
ASV_191,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
ASV_192,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae1,Alcanivorax,uncultured_Alteromonas
ASV_193,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
ASV_194,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_195,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,uncultured,uncultured_marine
ASV_196,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,
ASV_197,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,uncultured,
ASV_198,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
ASV_199,Bacteria,Nitrospinota,Nitrospinia,Nitrospinales,Nitrospinaceae,LS-NOB,
ASV_200,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,
ASV_201,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,NS9_marine_group,hydrothermal_vent
ASV_202,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS7_marine_group,NS7_marine_group,seawater_metagenome
ASV_203,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,Dadabacteriales,Dadabacteriales,uncultured_marine
ASV_204,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,,,
ASV_205,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Roseibacillus,
ASV_206,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
ASV_207,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
ASV_208,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_209,Bacteria,Proteobacteria,Gammaproteobacteria,Vibrionales,Vibrionaceae,,
ASV_210,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
ASV_211,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,
ASV_212,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),unidentified_marine
ASV_213,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,
ASV_214,Bacteria,Proteobacteria,Alphaproteobacteria,SAR11_clade,Clade_I,Clade_Ib,
ASV_215,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Arctic97B-4_marine_group,Arctic97B-4_marine_group,Arctic97B-4_marine_group,metagenome
ASV_216,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,HOC36,HOC36,uncultured_marine
ASV_217,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Spongiibacteraceae,Sinobacterium,
ASV_218,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,uncultured,uncultured_marine
ASV_219,Bacteria,Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),Marinimicrobia_(SAR406_clade),
ASV_220,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Formosa,
ASV_221,Bacteria,Proteobacteria,Gammaproteobacteria,UBA10353_marine_group,UBA10353_marine_group,UBA10353_marine_group,unidentified_marine
ASV_222,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,OM60(NOR5)_clade,
ASV_223,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,,
ASV_224,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Porticoccaceae,SAR92_clade,
ASV_225,Bacteria,Proteobacteria,Gammaproteobacteria,OM182_clade,OM182_clade,OM182_clade,hydrothermal_vent
ASV_226,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marinoscillum,
ASV_227,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,
ASV_228,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,
ASV_229,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Sva0996_marine_group,
