,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_89,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_90,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,s_
ASV_91,Eukaryota,unknown,unknown,Diplonemea,unknown,g_,s_
ASV_92,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_93,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Minutocellus,Minutocellus polymorphus
ASV_94,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,unassigned
ASV_96,Eukaryota,Cryptophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_98,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,unassigned,unassigned
ASV_99,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_100,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Proterythropsis,Proterythropsis sp. BSL-2009a
ASV_101,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_102,Eukaryota,Cercozoa,unknown,Thaumatomonadida,Thaumatomastigidae,Protaspis,s_
ASV_103,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_104,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos tenuis
ASV_105,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_106,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,g_,s_
ASV_107,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_108,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_109,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_110,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_111,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,unassigned
ASV_112,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_113,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_114,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_115,Eukaryota,Mollusca,Bivalvia,Mytiloida,Mytilidae,Idas,Idas argenteus
ASV_116,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_117,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis glacialis
ASV_118,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,Guinardia flaccida
ASV_120,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Proboscia,s_
ASV_121,Eukaryota,unknown,Dinophyceae,Pyrocystales,Pyrocystaceae,Dissodinium,Dissodinium pseudolunula
ASV_122,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros radicans
ASV_123,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Coscinodiscales,Hemidiscaceae,Actinocyclus,Actinocyclus curvatulus
ASV_124,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
ASV_125,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,s_
ASV_126,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_127,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_128,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Lepidodinium,Lepidodinium viride
ASV_129,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,unassigned
ASV_130,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros debilis
ASV_131,Eukaryota,Chordata,Mammalia,unassigned,unassigned,unassigned,unassigned
ASV_132,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_133,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,unassigned
ASV_134,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_135,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_137,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_138,Eukaryota,Cnidaria,Hydrozoa,Anthoathecata,Pandeidae,Leuckartiara,Leuckartiara octona
ASV_139,Eukaryota,Ciliophora,Spirotrichea,unknown,Tontoniidae,Pseudotontonia,Pseudotontonia sp. JG-2011a
ASV_140,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_141,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_142,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium leonis
ASV_143,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,g_,s_
ASV_144,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros tenuissimus
ASV_145,Eukaryota,unknown,Haptophyta,Prymnesiales,unassigned,unassigned,unassigned
ASV_146,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Kareniaceae,Karlodinium,unassigned
ASV_147,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_149,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros cinctus
ASV_150,Eukaryota,Bacillariophyta,Mediophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,Ditylum brightwellii
ASV_151,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,unassigned
ASV_152,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_153,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_154,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Stephanodiscaceae,Cyclotella,unassigned
ASV_155,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,Heterosigma akashiwo
ASV_157,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Fragilariopsis,Fragilariopsis doliolus
ASV_158,Eukaryota,Chordata,Appendicularia,unknown,unknown,g_,s_
ASV_159,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_160,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_161,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_162,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_164,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_165,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_166,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,Pseudo-nitzschia heimii
ASV_168,Eukaryota,unknown,unknown,unknown,unknown,Solenicola,s_
ASV_169,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_170,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_171,Eukaryota,Arthropoda,Hexanauplia,Cyclopoida,Oithonidae,unknown,Oithonidae sp. DZMB624
ASV_172,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros sp. UNC1415
ASV_173,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_174,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,unassigned
ASV_175,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Ceratiaceae,Tripos,Tripos tenuis
ASV_176,Eukaryota,unknown,Dinophyceae,Coccidiniales,Chytriodiniaceae,Chytriodinium,s_
ASV_177,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_179,Eukaryota,unknown,unknown,unknown,unknown,g_,s_
ASV_180,Eukaryota,unknown,Dinophyceae,Peridiniales,Peridiniaceae,g_,s_
ASV_181,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_182,Eukaryota,Cnidaria,Scyphozoa,Semaeostomeae,Pelagiidae,Chrysaora,Chrysaora fuscescens
ASV_183,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_184,Eukaryota,Arthropoda,Hexanauplia,Harpacticoida,Euterpinidae,Euterpina,Euterpina acutifrons
ASV_185,Eukaryota,unknown,Haptophyta,Isochrysidales,Noelaerhabdaceae,unassigned,unassigned
ASV_186,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_187,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_188,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_190,Eukaryota,Cryptophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_191,Eukaryota,unknown,unknown,unknown,unknown,unknown,eukaryote clone OLI11305
ASV_192,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_193,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_194,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira concaviuscula
ASV_195,Eukaryota,Bacillariophyta,Mediophyceae,Hemiaulales,Hemiaulaceae,Eucampia,unassigned
ASV_196,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_198,Eukaryota,Cercozoa,Thecofilosea,unknown,Ebriacea,Ebria,Ebria tripartita
ASV_199,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_200,Eukaryota,unknown,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,unassigned
ASV_201,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_202,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Metridinidae,unassigned,unassigned
ASV_203,Eukaryota,unknown,Dinophyceae,Blastodiniales,unknown,Blastodinium,Blastodinium mangini
ASV_204,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_205,Eukaryota,unknown,unknown,Diplonemea,unknown,unknown,s_
ASV_206,Eukaryota,unknown,Labyrinthulomycetes,unknown,Thraustochytriaceae,Aplanochytrium,Aplanochytrium kerguelense
ASV_207,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_208,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_209,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,unassigned
ASV_210,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Paragymnodinium,Paragymnodinium shiwhaense
ASV_211,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_212,Eukaryota,Cryptophyta,unknown,Pyrenomonadales,Geminigeraceae,Geminigera,Geminigera cryophila
ASV_213,Eukaryota,unknown,Dinophyceae,Thoracosphaerales,Thoracosphaeraceae,Scrippsiella,unassigned
ASV_215,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,Parasagitta,Parasagitta megalophthalma
ASV_216,no_hit,no_hit,no_hit,no_hit,no_hit,g_,s_
ASV_217,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,Chaetoceros brevis
ASV_218,Eukaryota,unknown,unknown,Diplonemea,unknown,unknown,Diplonemida sp. 37 RG-2016
ASV_219,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_220,Eukaryota,unknown,Polycystinea,Nassellaria,Plagiacanthidae,Lithomelissa,Lithomelissa setosa
ASV_221,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_222,Eukaryota,unknown,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Alexandrium,unassigned
ASV_223,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_224,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,g_,s_
ASV_225,Eukaryota,Ciliophora,Spirotrichea,unassigned,unassigned,unassigned,unassigned
ASV_226,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,g_,s_
ASV_227,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae,unassigned,unassigned
ASV_228,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_229,Eukaryota,Ciliophora,Spirotrichea,Choreotrichida,Strombidinopsidae,g_,s_
ASV_230,Eukaryota,Mollusca,Bivalvia,Veneroida,Vesicomyidae,Calyptogena,Calyptogena magnifica
ASV_231,Eukaryota,unknown,unknown,Diplonemea,unknown,g_,s_
ASV_232,Eukaryota,Cnidaria,Hydrozoa,Trachymedusae,Geryoniidae,Liriope,Liriope tetraphylla
ASV_233,Eukaryota,Bacillariophyta,Mediophyceae,Cymatosirales,Cymatosiraceae,Brockmanniella,Brockmanniella brockmannii
ASV_234,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_235,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_236,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,Warnowia sp. BSL-2009a
ASV_237,Eukaryota,Chlorophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_238,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_239,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_240,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,unassigned,s_
ASV_241,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,unassigned
ASV_243,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,unassigned,unassigned
ASV_245,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,s_
ASV_246,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_248,Eukaryota,unknown,unknown,Diplonemea,unassigned,unassigned,unassigned
ASV_249,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Chaetocerotales,Chaetocerotaceae,Chaetoceros,unassigned
ASV_250,Eukaryota,Arthropoda,Ostracoda,Halocyprida,Halocyprididae,Conchoecia,s_
ASV_252,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,Oncaea,s_
ASV_253,Eukaryota,unknown,unknown,Diplonemea,unknown,unknown,s_
ASV_254,Eukaryota,Chlorophyta,Pedinophyceae,Pedinomonadales,Pedinomonadaceae,Pedinomonas,unassigned
ASV_255,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,unassigned
ASV_256,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine picoeukaryote
ASV_257,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Strombidium,Strombidium caudispina
ASV_259,Eukaryota,unknown,Dinophyceae,Gymnodiniales,Warnowiaceae,Warnowia,unassigned
ASV_260,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_261,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_262,Eukaryota,unknown,unknown,unknown,unknown,unknown,s_
ASV_263,Eukaryota,Chlorophyta,Mamiellophyceae,unassigned,unassigned,g_,s_
ASV_264,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_265,Eukaryota,unknown,unknown,unknown,unknown,unknown,uncultured marine eukaryote
ASV_266,Eukaryota,unassigned,unassigned,unassigned,unassigned,unassigned,s_
ASV_267,Eukaryota,Bacillariophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,unassigned,unassigned
ASV_268,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Apolemiidae,Apolemia,unassigned
ASV_269,Eukaryota,unknown,Dinophyceae,Syndiniales,Amoebophryaceae,Amoebophrya,unassigned
ASV_270,Eukaryota,unknown,Dinophyceae,unassigned,unassigned,unassigned,unassigned
ASV_271,Eukaryota,Annelida,Polychaeta,Phyllodocida,Hesionidae,unassigned,unassigned
ASV_272,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,unassigned
ASV_273,Eukaryota,unknown,Dinophyceae,Syndiniales,unassigned,unassigned,unassigned
ASV_274,Eukaryota,unknown,Dinophyceae,Peridiniales,Heterocapsaceae,unassigned,unassigned
ASV_275,Eukaryota,Cryptophyta,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_276,Eukaryota,Ciliophora,Spirotrichea,unknown,Strombidiidae,Spirostrombidium,s_
ASV_277,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_278,Eukaryota,Cryptophyta,unknown,Pyrenomonadales,Geminigeraceae,Teleaulax,Teleaulax amphioxeia
ASV_279,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,s_
ASV_280,Eukaryota,unknown,Dinophyceae,Syndiniales,Duboscquellidae,Duboscquella,unassigned
ASV_281,Eukaryota,unknown,Dinophyceae,Peridiniales,Protoperidiniaceae,g_,s_
ASV_282,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
