,Kingdom,Phylum,Class,Order,Family,Genus,Species
ASV_214,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned,unassigned
ASV_216,Eukaryota,Imbricatea,unknown,Euglyphida,Paulinellidae,g_,s_
ASV_217,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_219,Eukaryota,Annelida,Polychaeta,unassigned,unassigned,unassigned,unassigned
ASV_220,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_222,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_223,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_224,Eukaryota,Basidiomycota,Cystobasidiomycetes,Cystobasidiales,Cystobasidiaceae,g_,s_
ASV_225,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_226,Eukaryota,Blastocladiomycota,Blastocladiomycetes,Blastocladiales,Blastocladiaceae,g_,s_
ASV_229,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_233,Eukaryota,Rotifera,Monogononta,Ploima,Synchaetidae,g_,s_
ASV_234,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_235,Eukaryota,Bacillariophyta,Bacillariophyceae,Naviculales,Amphipleuraceae,g_,s_
ASV_236,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Acartiidae,Acartia,unassigned
ASV_237,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Prayidae,Praya,Praya reticulata
ASV_238,Eukaryota,unknown,Oomycetes,unknown,unknown,g_,s_
ASV_239,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_241,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_242,Eukaryota,Porifera,Demospongiae,Poecilosclerida,Microcionidae,g_,s_
ASV_243,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Paracalanidae,Paracalanus,Paracalanus sp. C AC-2013
ASV_244,Eukaryota,unknown,Phaeophyceae,unassigned,unassigned,g_,s_
ASV_245,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_246,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Clausocalanus,Clausocalanus parapergens
ASV_247,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_248,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_249,Eukaryota,Bacillariophyta,Fragilariophyceae,Thalassionemales,Thalassionemataceae,g_,s_
ASV_250,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_251,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_252,Eukaryota,Arthropoda,Insecta,unassigned,unassigned,g_,s_
ASV_253,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_254,Eukaryota,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,s_
ASV_255,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
ASV_258,Bacteria,Proteobacteria,Alphaproteobacteria,Pelagibacterales,Pelagibacteraceae,g_,s_
ASV_259,Eukaryota,Arthropoda,Insecta,Coleoptera,unassigned,g_,s_
ASV_260,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_261,Eukaryota,Arthropoda,Insecta,Coleoptera,Staphylinidae,g_,s_
ASV_263,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_264,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_266,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_269,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_270,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_272,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_275,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_276,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_277,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis globosa
ASV_278,Eukaryota,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,g_,s_
ASV_279,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_280,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_281,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_282,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_283,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_284,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,g_,s_
ASV_285,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Rhizosoleniales,Rhizosoleniaceae,g_,s_
ASV_286,Eukaryota,unknown,Raphidophyceae,Chattonellales,Chattonellaceae,Fibrocapsa,Fibrocapsa japonica
ASV_287,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_288,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_290,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,g_,s_
ASV_291,Eukaryota,Mollusca,Gastropoda,unknown,Pachychilidae,g_,s_
ASV_292,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Thalassiosira pseudonana
ASV_296,Eukaryota,Bacillariophyta,unassigned,unassigned,unassigned,g_,s_
ASV_298,Eukaryota,Arthropoda,Malacostraca,Euphausiacea,Euphausiidae,Thysanoessa,Thysanoessa spinifera
ASV_299,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_300,Eukaryota,Chaetognatha,Sagittoidea,Aphragmophora,Sagittidae,g_,s_
ASV_301,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calanidae,Calanus,Calanus pacificus
ASV_302,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,Skeletonemataceae,g_,s_
ASV_303,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_304,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_305,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,g_,s_
ASV_307,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_308,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Clausocalanidae,Pseudocalanus,Pseudocalanus mimus
ASV_309,Eukaryota,Arthropoda,Hexanauplia,Calanoida,Calocalanidae,g_,s_
ASV_310,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_311,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_313,Eukaryota,Bacillariophyta,Coscinodiscophyceae,Thalassiosirales,unassigned,g_,s_
ASV_314,Eukaryota,Bryozoa,Gymnolaemata,Cheilostomatida,Membraniporidae,Membranipora,unassigned
ASV_316,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_317,Eukaryota,Ascomycota,Dothideomycetes,unassigned,unassigned,g_,s_
ASV_318,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_319,Eukaryota,Cnidaria,Hydrozoa,Siphonophorae,Forskaliidae,g_,s_
ASV_320,Eukaryota,Arthropoda,Insecta,Diptera,Mycetophilidae,g_,s_
ASV_321,Eukaryota,Haptista,Haptophyta,Phaeocystales,Phaeocystaceae,Phaeocystis,Phaeocystis pouchetii
ASV_323,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_324,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_328,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_329,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_330,Eukaryota,Discosea,unknown,Longamoebia,Acanthamoebidae,g_,s_
ASV_331,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_333,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_334,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_335,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_336,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_337,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_338,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_339,Eukaryota,Picozoa,unknown,unknown,unknown,g_,s_
ASV_340,Eukaryota,Bacillariophyta,Fragilariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,Asterionellopsis lenisilicea
ASV_342,unassigned,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_343,Eukaryota,Cnidaria,Hydrozoa,Leptothecata,Aglaopheniidae,g_,s_
ASV_345,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_346,Eukaryota,unknown,Oomycota,Peronosporales,Peronosporaceae,g_,s_
ASV_348,Eukaryota,Arthropoda,Insecta,Diptera,unassigned,g_,s_
ASV_349,Eukaryota,Haptista,Haptophyta,Prymnesiales,Chrysochromulinaceae,g_,s_
ASV_350,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_351,Eukaryota,Arthropoda,Hexanauplia,Poecilostomatoida,Oncaeidae,g_,s_
ASV_353,Eukaryota,unknown,Phaeophyceae,Ectocarpales,Chordariaceae,g_,s_
ASV_354,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
ASV_355,Eukaryota,Chordata,Ascidiacea,Enterogona,Ascidiidae,Ascidia,Ascidia ahodori
ASV_356,Eukaryota,unassigned,unassigned,unassigned,unassigned,g_,s_
ASV_357,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit,no_hit
