sample_name	project_name	vessel	ESP_sample_match	year	season	collection_date	sampling_platform	sampling_device	filtration_device	control_status	station	bottom_depth_m	bottom_depth_group_m	CTD_cast	depth_m	temp_C	salinity_PSU	O2_mL_L	O2_group	density_kG_m3	chlA_ug_L	fluor_volt	latitude	lat_group	longitude	PO4	SiO4	NO3	NO2	NH4	volume_filtered_ml	filter_type	filter_pore_size_um	target_subfragment	F_primer	R_primer	primers_FR	seq_platform	seq_model	seq_chemistry	run_center	run_date	Description
CN18Fc33_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC43	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	135	100-300	33	35	12.0147	33.6576	3.75316	3-3.9	25.5446	0.546	0.0418	36.9898	36.5-37	-122.4055	1.56	12.7	14.96	0.36	0.001	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc36_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC40	2018	Fall	20180909	Flyer	CTD	peristaltic	Exp	ESP	135	100-300	36	20	11.9012	33.6626	3.67785	3-3.9	25.5695	0.5217	0.0409	37.0012	37-37.5	-122.3755	1.33	14.1	16.51	0.19	0.003	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc38_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC37	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	125	100-300	38	30	12.0575	33.6557	3.84982	3-3.9	25.5349	0.5684	0.0427	36.9742	36.5-37	-122.3533	1.03	12.35	14.63	0.33	0.006	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc40_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC35	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	120	100-300	40	25	11.9661	33.6585	3.80235	3-3.9	25.5542	0.5535	0.0421	36.9662	36.5-37	-122.3437	1.08	13.68	15.3	0.16	0.076	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc41_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC34	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	125	100-300	41	25	11.9131	33.6601	3.79566	3-3.9	25.5654	0.5684	0.0427	36.9607	36.5-37	-122.3422	1.61	13.73	15.74	0.19	0.012	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc43_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC32	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	125	100-300	43	30	12.2441	33.6459	3.87245	3-3.9	25.4918	0.6269	0.0451	36.9545	36.5-37	-122.337	1.53	5.62	14.91	0.17	0	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc44_8_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC31	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	125	100-300	44	20	12.0207	33.658	3.79052	3-3.9	25.5434	0.6076	0.0443	36.9543	36.5-37	-122.3333	1.6	7.17	14.42	0.15	0.01	900	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc46_8_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC30	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	110	100-300	46	10	13.0871	33.6144	4.43183	4-4.9	25.3025	1.6411	0.0856	36.9405	36.5-37	-122.2938	0.91	6.03	10.59	0.39	0.082	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc47_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC29	2018	Fall	20180910	Flyer	CTD	peristaltic	Exp	ESP	140	100-300	47	25	11.9996	33.6597	3.73847	3-3.9	25.5489	0.6294	0.0452	36.9267	36.5-37	-122.2925	1.02	7.1	14.05	0.14	0.116	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc49_6_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC26	2018	Fall	20180911	Flyer	CTD	peristaltic	Exp	ESP	120	100-300	49	25	12.7123	33.6352	4.49015	4-4.9	25.393	2.0529	0.1021	36.927	36.5-37	-122.284	0.82	10.18	9.69	0.27	0.029	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Fc51_5_eDNA	eCruises_2018	Flyer	CN18FESPkoa_SC24	2018	Fall	20180911	Flyer	CTD	peristaltic	Exp	ESP	130	100-300	51	35	12.0849	33.6492	3.87004	3-3.9	25.5248	0.8294	0.0532	36.9175	36.5-37	-122.2742	1.07	12.47	15.11	1.12	0.026	1000	PVDF	0.2	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC24	eCruises_2018	Tethys	CN18Fc51_5_eDNA	2018	Fall	20180911	Tethys	AUV	ESP	Exp	NA	130	100-300	51	35	12.0849	33.6492	3.87004	3-3.9	25.5248	0.8294	0.0532	36.9175	36.5-37	-122.2742	1.07	12.47	15.11	1.12	0.026	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC26	eCruises_2018	Tethys	CN18Fc49_6_eDNA	2018	Fall	20180911	Tethys	AUV	ESP	Exp	NA	120	100-300	49	27	12.7123	33.6352	4.49015	4-4.9	25.393	2.0529	0.1021	36.927	36.5-37	-122.284	0.82	10.18	9.69	0.27	0.029	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC29	eCruises_2018	Tethys	CN18Fc47_6_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	140	100-300	47	22	11.9996	33.6597	3.73847	3-3.9	25.5489	0.6294	0.0452	36.9267	36.5-37	-122.2925	1.02	7.1	14.05	0.14	0.116	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC30	eCruises_2018	Tethys	CN18Fc46_8_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	110	100-300	46	13	13.0871	33.6144	4.43183	4-4.9	25.3025	1.6411	0.0856	36.9405	36.5-37	-122.2938	0.91	6.03	10.59	0.39	0.082	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC31	eCruises_2018	Tethys	CN18Fc44_8_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	125	100-300	44	19	12.0207	33.658	3.79052	3-3.9	25.5434	0.6076	0.0443	36.9543	36.5-37	-122.3333	1.6	7.17	14.42	0.15	0.01	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC32	eCruises_2018	Tethys	CN18Fc43_5_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	125	100-300	43	35	12.2441	33.6459	3.87245	3-3.9	25.4918	0.6269	0.0451	36.9545	36.5-37	-122.337	1.53	5.62	14.91	0.17	0	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC34	eCruises_2018	Tethys	CN18Fc41_6_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	125	100-300	41	25	11.9131	33.6601	3.79566	3-3.9	25.5654	0.5684	0.0427	36.9607	36.5-37	-122.3422	1.61	13.73	15.74	0.19	0.012	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC37	eCruises_2018	Tethys	CN18Fc38_5_eDNA	2018	Fall	20180910	Tethys	AUV	ESP	Exp	NA	125	100-300	38	31	12.0575	33.6557	3.84982	3-3.9	25.5349	0.5684	0.0427	36.9742	36.5-37	-122.3533	1.03	12.35	14.63	0.33	0.006	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC40	eCruises_2018	Tethys	CN18Fc36_6_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	135	100-300	36	25	11.9012	33.6626	3.67785	3-3.9	25.5695	0.5217	0.0409	37.0012	37-37.5	-122.3755	1.33	14.1	16.51	0.19	0.003	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC41	eCruises_2018	Tethys	CN18Fc35_5_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	145	100-300	35	28	11.3956	33.6851	3.47134	3-3.9	25.6808	0.4463	0.0379	37.0005	37-37.5	-122.384	1.92	16.45	18.48	0.28	0.047	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC43	eCruises_2018	Tethys	CN18Fc33_5_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	135	100-300	33	32	12.0147	33.6576	3.75316	3-3.9	25.5446	0.546	0.0418	36.9898	36.5-37	-122.4055	1.56	12.7	14.96	0.36	0.001	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC44	eCruises_2018	Tethys	CN18Fc32_4_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	185	100-300	32	37	11.3054	33.6943	3.38028	3-3.9	25.7046	0.4463	0.0379	36.9973	36.5-37	-122.4083	1.58	16.92	19.22	0.24	0.001	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC46	eCruises_2018	Tethys	CN18Fc30_4_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	220	100-300	30	39	11.7004	33.6699	3.65703	3-3.9	25.6131	0.4768	0.0391	36.9977	36.5-37	-122.4165	1.53	14.95	17.46	0.27	0.001	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC47	eCruises_2018	Tethys	CN18Fc29_6_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	320	300-500	29	29	11.9849	33.6557	3.82099	3-3.9	25.5486	0.5535	0.0421	36.9977	36.5-37	-122.4128	1.08	12.61	15.31	0.24	0.035	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC49	eCruises_2018	Tethys	CN18Fc27_4_eDNA	2018	Fall	20180909	Tethys	AUV	ESP	Exp	NA	150	100-300	27	48	12.0194	33.6541	3.82541	3-3.9	25.5412	0.5684	0.0427	37.0052	37-37.5	-122.4185	1.35	11.98	15.63	0.23	0.024	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC52	eCruises_2018	Tethys	CN18Fc25_5_eDNA	2018	Fall	20180908	Tethys	AUV	ESP	Exp	NA	122	100-300	25	28	11.5667	33.6788	3.61299	3-3.9	25.6445	0.4625	0.0385	37.0127	37-37.5	-122.4413	1.48	14.12	19.08	0.38	0.003	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC53	eCruises_2018	Tethys	CN18Fc24_6_eDNA	2018	Fall	20180908	Tethys	AUV	ESP	Exp	NA	122	100-300	24	34	12.001	33.6574	3.7499	3-3.9	25.5468	0.5379	0.0415	37.0077	37-37.5	-122.4493	1.42	14.04	14.86	0.29	0.052	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC55	eCruises_2018	Tethys	CN18Fc22_6_eDNA	2018	Fall	20180908	Tethys	AUV	ESP	Exp	NA	130	100-300	22	35	12.0074	33.653	3.83292	3-3.9	25.5425	0.5684	0.0427	37.006	37-37.5	-122.467	0.88	13.24	14.32	0.07	0.022	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC56	eCruises_2018	Tethys	CN18Fc21_6_eDNA	2018	Fall	20180908	Tethys	AUV	ESP	Exp	NA	135	100-300	21	38	11.9639	33.6603	3.70764	3-3.9	25.5561	0.5054	0.0402	36.9898	36.5-37	-122.4682	1.49	10.8	11.98	0.24	0.017	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC57	eCruises_2018	Tethys	CN18Fc19_5_eDNA	2018	Fall	20180908	Tethys	AUV	ESP	Exp	NA	135	100-300	19	35	12.254	33.6436	4.21523	4-4.9	25.4884	0.5777	0.0431	36.9937	36.5-37	-122.468	1.38	12.28	15.24	0.27	0.026	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18FESPkoa_SC58	eCruises_2018	Tethys	CN18Fc12_8_eDNA	2018	Fall	20180907	Tethys	AUV	ESP	Exp	NA	230	100-300	12	29	13.0777	33.6197	4.21222	4-4.9	25.3091	0.5466	0.0418	36.9848	36.5-37	-122.519	1.25	12.23	14.92	0.31	0.002	1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc09_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC49	2018	Spring	20180606	Flyer	CTD	peristaltic	Exp	TS	190	100-300	9	200	8.4613	34.0447	1.79102	1-1.9	26.4573	0.044485714	0.0362	36.9875	36.5-37	-122.517	2.545	0.101	29.831	41.235		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc10_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC47	2018	Spring	20180606	Flyer	CTD	peristaltic	Exp	TS	290	100-300	10	200	8.4878	34.0568	1.71053	1-1.9	26.4628	0.042508571	0.036	36.9783	36.5-37	-122.5182	2.304	0.153	30.207	41.488		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc14_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC45	2018	Spring	20180607	Flyer	CTD	peristaltic	Exp	TS	200	100-300	14	195	8.3564	34.0504	1.78734	1-1.9	26.0042	0.043793714	0.0501	36.9882	36.5-37	-122.5198	2.24	0.337	21.908	23.141		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc14_8_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC44	2018	Spring	20180607	Flyer	CTD	peristaltic	Exp	TS	200	100-300	14	30	10.0097	33.7876	3.37559	3-3.9	26.4776	0.632685714	0.0366	36.9882	36.5-37	-122.5198	2.116	0.045	22.695	29.267		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc15_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC42	2018	Spring	20180607	Flyer	CTD	peristaltic	Exp	TS	310	300-500	15	195	8.5451	34.0481	1.74591	1-1.9	25.8382	0.05536	0.1351	36.98	36.5-37	-122.5313	1.306	0.302	16.23	12.635		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc15_8_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC41	2018	Spring	20180607	Flyer	CTD	peristaltic	Exp	TS	310	300-500	15	30	10.9701	33.7886	5.02883	5-5.9	26.4471	4.942857143	0.0359	36.98	36.5-37	-122.5313	2.242	0.113	30.198	38.65		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc18_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC40	2018	Spring	20180608	Flyer	CTD	peristaltic	Exp	TS	200	100-300	18	200	8.5901	33.9981	2.05723	2-2.9	25.8881	0.070188571	0.0583	36.9882	36.5-37	-122.5198	1.137	0.291	20.201	21.612		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc18_8_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC39	2018	Spring	20180608	Flyer	CTD	peristaltic	Exp	TS	200	100-300	18	30	10.5804	33.7643	3.92993	4-4.9	26.401	0.632685714	0.0366	36.9882	36.5-37	-122.5198	2.141	0.174	26.182	33.56		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc27_2_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC37	2018	Spring	20180608	Flyer	CTD	peristaltic	Exp	TS	200	100-300	27	200	7.8489	34.1077	1.43017	1-1.9	25.8896	0.033611429	0.0753	36.9882	36.5-37	-122.5202	1.443	0.332	14.487	16.572		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18Sc27_8_eDNA	eCruises_2018	Flyer	CN18SESPkoa_SC36	2018	Spring	20180608	Flyer	CTD	peristaltic	Exp	TS	200	100-300	27	30	10.5551	33.7606	4.07827	4-4.9	26.5982	1.423542857	0.036	36.9882	36.5-37	-122.5202	2.29	0.093	30.236	46.112		1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18SESPkoa_SC36	eCruises_2018	Makai	CN18Sc27_8_eDNA	2018	Spring	20180608	Makai	AUV	ESP	Exp	NA	200	100-300	27	30	10.26982819	33.77007034	4.385419519	4-4.9	26.5982	0.474012862	0.036	36.9882	36.5-37	-122.5202						1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
CN18SESPkoa_SC37	eCruises_2018	Makai	CN18Sc27_2_eDNA	2018	Spring	20180608	Makai	AUV	ESP	Exp	NA	200	100-300	27	200	8.288688442	34.08066089	1.975259282	1-1.9	25.8896	0.080833281	0.0753	36.9882	36.5-37	-122.5202						1000	PVDF	0.22	V4	515F (Parada)	806R (Apprill)	515F_806R	Illumina	MiSeq	2x150bp PE	Laragen	July_2019	Spring and fall 2018 Flyer cruise and paired ESP samples
